,datetime,w,w_forecasted,d,d_forecasted
79,2021-04-04 07:00:00,23.386098,23.000156,73431.234,75645.0
80,2021-04-04 08:00:00,21.123787,22.851889,74765.073,76963.0
81,2021-04-04 09:00:00,19.940085,22.581892,73962.25,76621.0
82,2021-04-04 10:00:00,18.766668,21.547634,71832.696,75210.0
83,2021-04-04 11:00:00,18.655814,19.860323,69888.811,73745.0
84,2021-04-04 12:00:00,17.998815,18.623146,68488.786,72408.0
85,2021-04-04 13:00:00,16.794496,17.856869,67020.978,70774.0
86,2021-04-04 14:00:00,16.169969,17.507625,65916.222,69522.0
87,2021-04-04 15:00:00,15.347537,17.10108,65609.777,68828.0
88,2021-04-04 16:00:00,15.732929,17.498152,66001.535,69298.0
89,2021-04-04 17:00:00,17.371319,17.633661,67194.342,70757.0
90,2021-04-04 18:00:00,19.392169,18.967529,68614.342,72397.0
91,2021-04-04 19:00:00,19.319169,21.82804,70549.124,75210.0
92,2021-04-04 20:00:00,22.321658,24.947032,73514.304,77394.0
93,2021-04-04 21:00:00,19.310275,21.018138,72473.254,76034.0
94,2021-04-04 22:00:00,18.188291,18.695616,69617.388,72797.0
95,2021-04-04 23:00:00,16.624559,17.11594,66436.251,69312.0
96,2021-04-05 00:00:00,15.877144,16.764059,63980.561,65518.0
97,2021-04-05 01:00:00,15.316246,16.834515,62901.031,64329.0
98,2021-04-05 02:00:00,15.510768,16.107895,62727.89,64132.0
99,2021-04-05 03:00:00,16.698529,16.458634,63310.131,64706.0
100,2021-04-05 04:00:00,18.097434,16.914606,65291.648,66790.0
101,2021-04-05 05:00:00,27.613375,20.258886,69767.808,72257.0
102,2021-04-05 06:00:00,23.655032,25.654671,76233.306,80004.0
103,2021-04-05 07:00:00,21.910718,29.61889,80733.402,84820.0
104,2021-04-05 08:00:00,20.681706,28.631372,81554.989,85290.0
105,2021-04-05 09:00:00,25.564757,28.753099,80639.455,84134.0
106,2021-04-05 10:00:00,63.347869,29.12828,79984.085,82926.0
107,2021-04-05 11:00:00,24.001154,29.203314,79255.301,81957.0
108,2021-04-05 12:00:00,21.043137,26.648896,78689.987,81096.0
109,2021-04-05 13:00:00,21.497347,24.190665,78414.841,80541.0
110,2021-04-05 14:00:00,21.147238,24.297995,77766.805,79900.0
111,2021-04-05 15:00:00,21.78697,23.391367,77514.976,79324.0
112,2021-04-05 16:00:00,22.182579,23.747324,77937.702,79535.0
113,2021-04-05 17:00:00,26.374649,24.581694,79002.778,80237.0
114,2021-04-05 18:00:00,24.556672,26.035598,79822.551,80719.0
115,2021-04-05 19:00:00,24.117545,30.410297,81186.816,82217.0
116,2021-04-05 20:00:00,29.042698,33.61308,82553.507,83758.0
117,2021-04-05 21:00:00,25.347189,25.572356,79856.556,81329.0
118,2021-04-05 22:00:00,18.413042,21.255545,75224.303,76380.0
119,2021-04-05 23:00:00,17.498192,18.734532,70606.881,71555.0
120,2021-04-06 00:00:00,16.630952,16.773474,67019.64,67530.0
121,2021-04-06 01:00:00,16.519232,16.226093,64905.254,65281.0
122,2021-04-06 02:00:00,16.457885,15.707813,63992.976,64136.0
123,2021-04-06 03:00:00,16.266554,15.457517,63710.125,63852.0
124,2021-04-06 04:00:00,16.846607,16.228531,65131.664,65181.0
125,2021-04-06 05:00:00,17.833717,18.280436,68848.487,69167.0
126,2021-04-06 06:00:00,18.713422,23.178187,75318.363,75653.0
127,2021-04-06 07:00:00,21.137298,25.549849,79397.348,80511.0
128,2021-04-06 08:00:00,19.075743,25.211642,80424.493,81968.0
129,2021-04-06 09:00:00,21.788266,25.568423,79866.474,82025.0
130,2021-04-06 10:00:00,22.400805,25.673965,79419.195,82052.0
131,2021-04-06 11:00:00,53.757634,25.782064,79330.604,81996.0
132,2021-04-06 12:00:00,85.709749,26.645378,79341.25,81979.0
133,2021-04-06 13:00:00,42.422702,26.219295,79631.833,82351.0
134,2021-04-06 14:00:00,46.786031,25.974683,79830.281,82451.0
135,2021-04-06 15:00:00,58.297131,26.219631,80064.173,82512.0
136,2021-04-06 16:00:00,67.457064,29.387664,81047.272,83206.0
137,2021-04-06 17:00:00,22.455257,30.352641,81876.144,84135.0
138,2021-04-06 18:00:00,22.723129,29.930744,82460.204,84621.0
139,2021-04-06 19:00:00,51.963738,35.859752,82959.635,85399.0
140,2021-04-06 20:00:00,29.440996,39.212762,84279.605,85291.0
141,2021-04-06 21:00:00,23.542009,27.640563,81553.655,82621.0
142,2021-04-06 22:00:00,20.39127,21.286271,76612.617,77403.0
143,2021-04-06 23:00:00,18.219944,18.282178,71565.3,72099.0
144,2021-04-07 00:00:00,16.562794,16.27004,67380.74,68363.0
145,2021-04-07 01:00:00,16.404495,15.67555,64887.354,65767.0
146,2021-04-07 02:00:00,15.966709,14.767456,63669.102,64236.0
147,2021-04-07 03:00:00,15.434917,14.714291,63059.959,63826.0
148,2021-04-07 04:00:00,16.068367,15.191855,64144.604,64968.0
149,2021-04-07 05:00:00,19.092671,17.668423,67485.553,68580.0
150,2021-04-07 06:00:00,20.535336,21.155619,73521.009,74832.0
151,2021-04-07 07:00:00,19.358512,23.705016,77471.174,79774.0
152,2021-04-07 08:00:00,19.991529,24.457393,79426.368,81558.0
153,2021-04-07 09:00:00,20.380083,25.384848,80214.143,82233.0
154,2021-04-07 10:00:00,20.371056,26.141494,80792.535,82779.0
155,2021-04-07 11:00:00,21.29345,26.806425,80957.682,83374.0
156,2021-04-07 12:00:00,22.209671,28.815758,81566.2,83971.0
157,2021-04-07 13:00:00,23.339555,31.640717,82227.295,84709.0
158,2021-04-07 14:00:00,24.334957,31.912758,82791.722,85269.0
159,2021-04-07 15:00:00,35.447547,34.765585,83553.209,85781.0
160,2021-04-07 16:00:00,22.585103,38.356528,84346.083,86717.0
161,2021-04-07 17:00:00,21.682353,38.638516,84883.577,87647.0
162,2021-04-07 18:00:00,22.471998,35.812915,84943.787,87886.0
163,2021-04-07 19:00:00,22.177445,40.239778,85030.283,89281.0
164,2021-04-07 20:00:00,24.442114,41.583991,85877.307,91165.0
165,2021-04-07 21:00:00,21.562683,27.911659,82786.128,85879.0
166,2021-04-07 22:00:00,19.201558,22.377584,77544.06,79668.0
167,2021-04-07 23:00:00,17.885674,18.452825,72252.676,74057.0
168,2021-04-08 00:00:00,18.819533,17.769004,67824.963,69149.0
169,2021-04-08 01:00:00,18.21575,16.648665,65100.074,66603.0
170,2021-04-08 02:00:00,16.808526,16.130126,63566.078,65155.0
171,2021-04-08 03:00:00,15.864126,15.959609,62910.771,64639.0
172,2021-04-08 04:00:00,16.400019,16.263705,64049.02,65711.0
173,2021-04-08 05:00:00,18.522446,19.123151,67182.483,69388.0
174,2021-04-08 06:00:00,19.733162,22.862744,72865.961,75796.0
175,2021-04-08 07:00:00,19.336858,24.765785,76849.823,80579.0
176,2021-04-08 08:00:00,20.335054,24.182774,78532.455,82210.0
177,2021-04-08 09:00:00,19.627001,25.264123,79054.404,82555.0
178,2021-04-08 10:00:00,21.337545,26.906175,79704.703,82843.0
179,2021-04-08 11:00:00,20.585026,28.190129,79996.286,83111.0
180,2021-04-08 12:00:00,21.933248,28.978834,80537.619,83338.0
181,2021-04-08 13:00:00,21.987339,27.541169,80907.726,83696.0
182,2021-04-08 14:00:00,22.096664,26.834638,80889.695,83746.0
183,2021-04-08 15:00:00,21.861518,26.488554,80883.778,83717.0
184,2021-04-08 16:00:00,19.032978,26.604492,80865.871,84201.0
185,2021-04-08 17:00:00,19.580275,25.173079,81566.14,84803.0
186,2021-04-08 18:00:00,20.424798,24.566499,81336.734,85047.0
187,2021-04-08 19:00:00,26.541515,28.764561,81721.151,85443.0
188,2021-04-08 20:00:00,33.386789,32.09574,82653.5,86023.0
189,2021-04-08 21:00:00,21.800107,25.367834,79710.86,82448.0
190,2021-04-08 22:00:00,19.952279,21.428932,75094.218,77477.0
191,2021-04-08 23:00:00,16.756631,18.742533,70288.066,72287.0
192,2021-04-09 00:00:00,15.782376,16.687585,66521.787,67997.0
193,2021-04-09 01:00:00,15.641242,16.168708,64134.626,65534.0
194,2021-04-09 02:00:00,15.508362,15.805877,62806.524,64154.0
195,2021-04-09 03:00:00,15.323972,15.66369,62283.857,63609.0
196,2021-04-09 04:00:00,15.469891,15.851539,63218.668,64585.0
197,2021-04-09 05:00:00,16.531613,18.144619,66542.975,68061.0
198,2021-04-09 06:00:00,59.172096,21.635823,71892.559,74005.0
199,2021-04-09 07:00:00,32.38012,23.598723,76449.966,78698.0
200,2021-04-09 08:00:00,19.885957,24.277575,78752.94,80810.0
201,2021-04-09 09:00:00,20.98441,25.099819,79880.764,81634.0
202,2021-04-09 10:00:00,21.572334,26.045229,80523.072,82342.0
203,2021-04-09 11:00:00,21.697791,25.245284,81100.606,82536.0
